PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked
6,0,3,1,,0,0,330877,8.4583,1
18,1,2,1,,0,0,244373,13.0,2
20,1,3,0,,0,0,2649,7.225,0
27,0,3,1,,0,0,2631,7.225,0
29,1,3,0,,0,0,330959,7.8792,1
30,0,3,1,,0,0,349216,7.8958,2
32,1,1,0,,1,0,17569,146.5208,0
33,1,3,0,,0,0,335677,7.75,1
37,1,3,1,,0,0,2677,7.2292,0
43,0,3,1,,0,0,349253,7.8958,0
46,0,3,1,,0,0,23567,8.05,2
47,0,3,1,,1,0,370371,15.5,1
48,1,3,0,,0,0,14311,7.75,1
49,0,3,1,,2,0,2662,21.6792,0
56,1,1,1,,0,0,19947,35.5,2
65,0,1,1,,0,0,17605,27.7208,0
66,1,3,1,,1,1,2661,15.2458,0
77,0,3,1,,0,0,349208,7.8958,2
78,0,3,1,,0,0,374746,8.05,2
83,1,3,0,,0,0,330932,7.7875,1
88,0,3,1,,0,0,392086,8.05,2
96,0,3,1,,0,0,374910,8.05,2
102,0,3,1,,0,0,349215,7.8958,2
108,1,3,1,,0,0,312991,7.775,2
110,1,3,0,,1,0,371110,24.15,1
122,0,3,1,,0,0,54510,8.05,2
127,0,3,1,,0,0,370372,7.75,1
129,1,3,0,,1,1,2668,22.3583,0
141,0,3,0,,0,2,2678,15.2458,0
155,0,3,1,,0,0,265302,7.3125,2
159,0,3,1,,0,0,315037,8.6625,2
160,0,3,1,,8,2,2343,69.55,2
167,1,1,0,,0,1,113505,55.0,2
169,0,1,1,,0,0,17318,25.925,2
177,0,3,1,,3,1,4133,25.4667,2
180,0,3,1,36.0,0,0,,0.0,2
181,0,3,0,,8,2,2343,69.55,2
182,0,2,1,,0,0,2131,15.05,0
186,0,1,1,,0,0,113767,50.0,2
187,1,3,0,,1,0,370365,15.5,1
197,0,3,1,,0,0,368703,7.75,1
199,1,3,0,,0,0,370370,7.75,1
202,0,3,1,,8,2,2343,69.55,2
215,0,3,1,,1,0,367229,7.75,1
224,0,3,1,,0,0,349234,7.8958,2
230,0,3,0,,3,1,4133,25.4667,2
236,0,3,0,,0,0,6609,7.55,2
241,0,3,0,,1,0,2665,14.4542,0
242,1,3,0,,1,0,367230,15.5,1
251,0,3,1,,0,0,362316,7.25,2
257,1,1,0,,0,0,17585,79.2,0
261,0,3,1,,0,0,384461,7.75,1
265,0,3,0,,0,0,382649,7.75,1
271,0,1,1,,0,0,113798,31.0,2
272,1,3,1,25.0,0,0,,0.0,2
275,1,3,0,,0,0,370375,7.75,1
278,0,2,1,,0,0,239853,0.0,2
