PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked
1,0,3,1,22.0,1,0,21171,7.25,2
2,1,1,0,38.0,1,0,17599,71.2833,0
3,1,3,0,26.0,0,0,3101282,7.925,2
4,1,1,0,35.0,1,0,113803,53.1,2
5,0,3,1,35.0,0,0,373450,8.05,2
6,0,3,1,36.863146649842456,0,0,330877,8.458300000000001,1
7,0,1,1,54.0,0,0,17463,51.8625,2
8,0,3,1,2.0,3,1,349909,21.075,2
9,1,3,0,27.0,0,2,347742,11.1333,2
10,1,2,0,14.0,1,0,237736,30.0708,0
11,1,3,0,4.0,1,1,9549,16.7,2
12,1,1,0,58.0,0,0,113783,26.55,2
13,0,3,1,20.0,0,0,2151,8.05,2
14,0,3,1,39.0,1,5,347082,31.275,2
15,0,3,0,14.0,0,0,350406,7.8542,2
16,1,2,0,55.0,0,0,248706,16.0,2
17,0,3,1,2.0,4,1,382652,29.125,1
18,1,2,1,35.6624072261084,0,0,244373,13.0,2
19,0,3,0,31.0,1,0,345763,18.0,2
20,1,3,0,16.665523053017026,0,0,2649,7.225000000000001,0
21,0,2,1,35.0,0,0,239865,26.0,2
22,1,2,1,34.0,0,0,248698,13.0,2
23,1,3,0,15.0,0,0,330923,8.0292,1
24,1,1,1,28.0,0,0,113788,35.5,2
25,0,3,0,8.0,3,1,349909,21.075,2
26,1,3,0,38.0,1,5,347077,31.3875,2
27,0,3,1,29.950414042441547,0,0,2631,7.225000000000001,0
28,0,1,1,19.0,3,2,19950,263.0,2
29,1,3,0,20.038552653499707,0,0,330959,7.879200000000001,1
30,0,3,1,23.200003709446438,0,0,349216,7.895799999999998,2
31,0,1,1,40.0,0,0,17601,27.7208,0
32,1,1,0,32.84842943206299,1,0,17569,146.5208,0
33,1,3,0,20.043728297035237,0,0,335677,7.75,1
34,0,2,1,66.0,0,0,24579,10.5,2
35,0,1,1,28.0,1,0,17604,82.1708,0
36,0,1,1,42.0,1,0,113789,52.0,2
37,1,3,1,23.69263748855946,0,0,2677,7.229199999999999,0
38,0,3,1,21.0,0,0,2152,8.05,2
39,0,3,0,18.0,2,0,345764,18.0,2
